ControlId,FeatureName,Status,SupportedResources,Severity,PropertyPath,LineNumber,CurrentValue,ExpectedProperty,ExpectedValue,ResourcePath,ResourceLineNumber,Description,FilePath
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',"resources[0] , resources[2]",341,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,"resources[0] , resources[2]",341,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',"resources[0] , resources[2]",341,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',"resources[4] , resources[6]",510,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,"resources[4] , resources[6]",510,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',"resources[4] , resources[6]",510,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',"resources[8] , resources[10]",716,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,"resources[8] , resources[10]",716,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',"resources[8] , resources[10]",716,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',"resources[12] , resources[13]",853,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
